<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140301,000000,1.3806,1.3811,1.3805,1.3809,4
EURUSD,20140301,000100,1.3808,1.3810,1.3807,1.3809,4
EURUSD,20140301,000200,1.3808,1.3808,1.3806,1.3808,4
EURUSD,20140301,000300,1.3809,1.3809,1.3806,1.3806,4
EURUSD,20140301,000400,1.3805,1.3805,1.3804,1.3805,4
EURUSD,20140301,000500,1.3805,1.3805,1.3804,1.3804,4
EURUSD,20140301,000600,1.3804,1.3804,1.3804,1.3804,4
EURUSD,20140301,000700,1.3804,1.3805,1.3804,1.3804,4
EURUSD,20140301,000800,1.3804,1.3805,1.3804,1.3804,4
EURUSD,20140301,000900,1.3804,1.3804,1.3804,1.3804,4
EURUSD,20140301,001000,1.3805,1.3807,1.3805,1.3806,4
EURUSD,20140301,001100,1.3807,1.3808,1.3807,1.3808,4
EURUSD,20140301,001200,1.3808,1.3808,1.3805,1.3805,4
EURUSD,20140301,001300,1.3804,1.3806,1.3804,1.3805,4
EURUSD,20140301,001400,1.3806,1.3806,1.3804,1.3804,4
EURUSD,20140301,001500,1.3803,1.3806,1.3803,1.3804,4
EURUSD,20140301,001600,1.3803,1.3804,1.3802,1.3803,4
EURUSD,20140301,001700,1.3804,1.3806,1.3804,1.3805,4
EURUSD,20140301,001800,1.3806,1.3806,1.3804,1.3805,4
EURUSD,20140301,001900,1.3806,1.3806,1.3804,1.3804,4
EURUSD,20140301,002000,1.3803,1.3805,1.3803,1.3803,4
EURUSD,20140301,002100,1.3804,1.3804,1.3802,1.3803,4
EURUSD,20140301,002200,1.3804,1.3804,1.3803,1.3804,4
EURUSD,20140301,002300,1.3804,1.3804,1.3803,1.3803,4
EURUSD,20140301,002400,1.3803,1.3803,1.3803,1.3803,4
EURUSD,20140301,002500,1.3803,1.3803,1.3802,1.3803,4
EURUSD,20140301,002600,1.3802,1.3802,1.3800,1.3801,4
EURUSD,20140301,002700,1.3802,1.3802,1.3801,1.3801,4
EURUSD,20140301,002800,1.3801,1.3801,1.3800,1.3801,4
EURUSD,20140301,002900,1.3800,1.3801,1.3800,1.3801,4
EURUSD,20140301,003000,1.3801,1.3805,1.3801,1.3805,4
EURUSD,20140301,003100,1.3804,1.3804,1.3803,1.3804,4
EURUSD,20140301,003200,1.3804,1.3804,1.3802,1.3802,4
EURUSD,20140301,003300,1.3801,1.3802,1.3800,1.3802,4
EURUSD,20140301,003400,1.3802,1.3802,1.3802,1.3802,4
EURUSD,20140301,003500,1.3801,1.3801,1.3800,1.3800,4
EURUSD,20140301,003600,1.3800,1.3800,1.3799,1.3799,4
EURUSD,20140301,003700,1.3799,1.3800,1.3799,1.3800,4
EURUSD,20140301,003800,1.3800,1.3800,1.3798,1.3799,4
EURUSD,20140301,003900,1.3799,1.3801,1.3799,1.3801,4
EURUSD,20140301,004000,1.3800,1.3800,1.3799,1.3799,4
